model_id,display,gt_type,support,correct,accuracy
claude-sonnet-4-6,Claude Sonnet 4.6,(all),5079,4765,0.9381768064579642
claude-sonnet-4-6,Claude Sonnet 4.6,abstract_class,139,131,0.9424460431654677
claude-sonnet-4-6,Claude Sonnet 4.6,actor,273,272,0.9963369963369964
claude-sonnet-4-6,Claude Sonnet 4.6,annotation,1,1,1.0
claude-sonnet-4-6,Claude Sonnet 4.6,boundary,70,23,0.32857142857142857
claude-sonnet-4-6,Claude Sonnet 4.6,class,2263,2216,0.9792311091471498
claude-sonnet-4-6,Claude Sonnet 4.6,collections,30,6,0.2
claude-sonnet-4-6,Claude Sonnet 4.6,control,79,28,0.35443037974683544
claude-sonnet-4-6,Claude Sonnet 4.6,database,108,103,0.9537037037037037
claude-sonnet-4-6,Claude Sonnet 4.6,entity,102,25,0.24509803921568626
claude-sonnet-4-6,Claude Sonnet 4.6,enum,56,54,0.9642857142857143
claude-sonnet-4-6,Claude Sonnet 4.6,interface,214,206,0.9626168224299065
claude-sonnet-4-6,Claude Sonnet 4.6,object,7,0,0.0
claude-sonnet-4-6,Claude Sonnet 4.6,participant,1730,1700,0.9826589595375722
claude-sonnet-4-6,Claude Sonnet 4.6,queue,7,0,0.0
