model_id,display,key,primary_type,tier,outcome_class,compiled,has_pred,csr_error,el_tp,el_fp,el_fn,el_f1,ta_matched,ta_correct,ta_excluded,rel_tp,rel_fp,rel_fn,rel_f1,relations_missed,relations_extra,chrf,gt_puml,pred_puml,pred_puml_exists,input_image,pred_render,pred_render_exists
gpt-5.2,GPT-5.2,b3d43297c56f7d7d725d9d50288912cf40e8ed50,class,1,provider_drop,False,False,no prediction (missing/timeout),0,0,1,0.0000,0,0,0,0,0,0,1.0000,,,0.00,data/puml_files/b3d43297c56f7d7d725d9d50288912cf40e8ed50.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/b3d43297c56f7d7d725d9d50288912cf40e8ed50.puml,False,data/puml_images_1568/b3d43297c56f7d7d725d9d50288912cf40e8ed50.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/b3d43297c56f7d7d725d9d50288912cf40e8ed50.png,False
gpt-5.2,GPT-5.2,05af3d5892f56a4b70714d0b17d90ff90d8a945c,sequence,2,compile_fail,False,True,Error line 8 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/05af3d5892f56a4b70714d0b17d90ff90d8a945c.puml,0,0,11,0.0000,0,0,0,0,0,14,0.0000,message,,81.21,data/puml_files/05af3d5892f56a4b70714d0b17d90ff90d8a945c.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/05af3d5892f56a4b70714d0b17d90ff90d8a945c.puml,True,data/puml_images_1568/05af3d5892f56a4b70714d0b17d90ff90d8a945c.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/05af3d5892f56a4b70714d0b17d90ff90d8a945c.png,False
gpt-5.2,GPT-5.2,2fc02b638db7d0314c7594c6f6a03f1a6f247100,class,3,compile_fail,False,True,Error line 9 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/2fc02b638db7d0314c7594c6f6a03f1a6f247100.puml,0,0,5,0.0000,0,0,0,0,0,6,0.0000,inheritance;aggregation;association,,71.49,data/puml_files/2fc02b638db7d0314c7594c6f6a03f1a6f247100.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/2fc02b638db7d0314c7594c6f6a03f1a6f247100.puml,True,data/puml_images_1568/2fc02b638db7d0314c7594c6f6a03f1a6f247100.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/2fc02b638db7d0314c7594c6f6a03f1a6f247100.png,False
gpt-5.2,GPT-5.2,30969b941c87171a79af4ee7c2f2ca6f1178a0fe,class,2,compile_fail,False,True,Error line 46 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/30969b941c87171a79af4ee7c2f2ca6f1178a0fe.puml,0,0,6,0.0000,0,0,0,0,0,6,0.0000,aggregation;association,,42.52,data/puml_files/30969b941c87171a79af4ee7c2f2ca6f1178a0fe.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/30969b941c87171a79af4ee7c2f2ca6f1178a0fe.puml,True,data/puml_images_1568/30969b941c87171a79af4ee7c2f2ca6f1178a0fe.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/30969b941c87171a79af4ee7c2f2ca6f1178a0fe.png,False
gpt-5.2,GPT-5.2,32e297812885b315c9ec8f772b7a81897cfbaed0,sequence,3,compile_fail,False,True,Error line 24 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/32e297812885b315c9ec8f772b7a81897cfbaed0.puml,0,0,4,0.0000,0,0,0,0,0,4,0.0000,message,,74.22,data/puml_files/32e297812885b315c9ec8f772b7a81897cfbaed0.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/32e297812885b315c9ec8f772b7a81897cfbaed0.puml,True,data/puml_images_1568/32e297812885b315c9ec8f772b7a81897cfbaed0.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/32e297812885b315c9ec8f772b7a81897cfbaed0.png,False
gpt-5.2,GPT-5.2,3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15,class,1,compile_fail,False,True,Error line 11 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15.puml,0,0,3,0.0000,0,0,0,0,0,2,0.0000,association,,66.53,data/puml_files/3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15.puml,True,data/puml_images_1568/3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/3e8ecc26a5a423e016c2d7c2fe96a7e63fe2de0e_15.png,False
gpt-5.2,GPT-5.2,4aad380673ff1225b973f740bf80ec99dfb70724,sequence,1,compile_fail,False,True,Error line 22 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/4aad380673ff1225b973f740bf80ec99dfb70724.puml,0,0,5,0.0000,0,0,0,0,0,8,0.0000,message,,71.42,data/puml_files/4aad380673ff1225b973f740bf80ec99dfb70724.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/4aad380673ff1225b973f740bf80ec99dfb70724.puml,True,data/puml_images_1568/4aad380673ff1225b973f740bf80ec99dfb70724.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/4aad380673ff1225b973f740bf80ec99dfb70724.png,False
gpt-5.2,GPT-5.2,532d5a1ff757de7127780cff4493ccdd7a51c49a,sequence,4,compile_fail,False,True,Error line 68 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/532d5a1ff757de7127780cff4493ccdd7a51c49a.puml,0,0,13,0.0000,0,0,0,0,0,34,0.0000,message,,57.86,data/puml_files/532d5a1ff757de7127780cff4493ccdd7a51c49a.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/532d5a1ff757de7127780cff4493ccdd7a51c49a.puml,True,data/puml_images_1568/532d5a1ff757de7127780cff4493ccdd7a51c49a.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/532d5a1ff757de7127780cff4493ccdd7a51c49a.png,False
gpt-5.2,GPT-5.2,5922ccf81ce292fdd445209df90f8035c5b34c23,class,1,compile_fail,False,True,no PNG produced,0,0,1,0.0000,0,0,0,0,0,0,1.0000,,,8.29,data/puml_files/5922ccf81ce292fdd445209df90f8035c5b34c23.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/5922ccf81ce292fdd445209df90f8035c5b34c23.puml,True,data/puml_images_1568/5922ccf81ce292fdd445209df90f8035c5b34c23.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/5922ccf81ce292fdd445209df90f8035c5b34c23.png,False
gpt-5.2,GPT-5.2,704b783235640f12565d250b751599d621aff349,sequence,1,compile_fail,False,True,Error line 16 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/704b783235640f12565d250b751599d621aff349.puml,0,0,4,0.0000,0,0,0,0,0,0,1.0000,,,34.18,data/puml_files/704b783235640f12565d250b751599d621aff349.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/704b783235640f12565d250b751599d621aff349.puml,True,data/puml_images_1568/704b783235640f12565d250b751599d621aff349.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/704b783235640f12565d250b751599d621aff349.png,False
gpt-5.2,GPT-5.2,784e17a8866ba13c13db1d894170cfb21ee51dbb,class,4,compile_fail,False,True,Error line 14 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/784e17a8866ba13c13db1d894170cfb21ee51dbb.puml,0,0,12,0.0000,0,0,0,0,0,10,0.0000,inheritance;association,,73.45,data/puml_files/784e17a8866ba13c13db1d894170cfb21ee51dbb.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/784e17a8866ba13c13db1d894170cfb21ee51dbb.puml,True,data/puml_images_1568/784e17a8866ba13c13db1d894170cfb21ee51dbb.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/784e17a8866ba13c13db1d894170cfb21ee51dbb.png,False
gpt-5.2,GPT-5.2,880c4bc548f9e57bcce86d0e90a558cd9dad31d5,sequence,2,compile_fail,False,True,Error line 23 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/880c4bc548f9e57bcce86d0e90a558cd9dad31d5.puml,0,0,3,0.0000,0,0,0,0,0,5,0.0000,message,,67.45,data/puml_files/880c4bc548f9e57bcce86d0e90a558cd9dad31d5.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/880c4bc548f9e57bcce86d0e90a558cd9dad31d5.puml,True,data/puml_images_1568/880c4bc548f9e57bcce86d0e90a558cd9dad31d5.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/880c4bc548f9e57bcce86d0e90a558cd9dad31d5.png,False
gpt-5.2,GPT-5.2,a3716c3d98cce05fe2a292cf86bf6bc243cd15bf,sequence,4,compile_fail,False,True,Error line 56 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/a3716c3d98cce05fe2a292cf86bf6bc243cd15bf.puml,0,0,4,0.0000,0,0,0,0,0,19,0.0000,message,,36.37,data/puml_files/a3716c3d98cce05fe2a292cf86bf6bc243cd15bf.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/a3716c3d98cce05fe2a292cf86bf6bc243cd15bf.puml,True,data/puml_images_1568/a3716c3d98cce05fe2a292cf86bf6bc243cd15bf.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/a3716c3d98cce05fe2a292cf86bf6bc243cd15bf.png,False
gpt-5.2,GPT-5.2,a4ace769617f9198bb8eb533e526af564df13977,sequence,3,compile_fail,False,True,Error line 28 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/a4ace769617f9198bb8eb533e526af564df13977.puml,0,0,5,0.0000,0,0,0,0,0,8,0.0000,message,,43.08,data/puml_files/a4ace769617f9198bb8eb533e526af564df13977.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/a4ace769617f9198bb8eb533e526af564df13977.puml,True,data/puml_images_1568/a4ace769617f9198bb8eb533e526af564df13977.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/a4ace769617f9198bb8eb533e526af564df13977.png,False
gpt-5.2,GPT-5.2,a87c8d584bf40e45101b8425d63c9ac5fb06c7d6,class,3,compile_fail,False,True,Error line 20 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,0,0,3,0.0000,0,0,0,0,0,2,0.0000,inheritance;dependency,,57.38,data/puml_files/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,True,data/puml_images_1568/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.png,False
gpt-5.2,GPT-5.2,aa416d26b5e8ab9e0af098522a5e026c5a67fe35,class,4,compile_fail,False,True,Error line 72 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/aa416d26b5e8ab9e0af098522a5e026c5a67fe35.puml,0,0,10,0.0000,0,0,0,0,0,12,0.0000,association,,44.02,data/puml_files/aa416d26b5e8ab9e0af098522a5e026c5a67fe35.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/aa416d26b5e8ab9e0af098522a5e026c5a67fe35.puml,True,data/puml_images_1568/aa416d26b5e8ab9e0af098522a5e026c5a67fe35.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/aa416d26b5e8ab9e0af098522a5e026c5a67fe35.png,False
gpt-5.2,GPT-5.2,b21a6faaf6a180c501e0aba4b0056672ede1ea2d,class,2,compile_fail,False,True,Error line 25 in file: data/csr/gpt-5.2-2025-12-11_20260613T154248Z/extracted/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,0,0,4,0.0000,0,0,0,0,0,4,0.0000,inheritance;aggregation;association,,74.49,data/puml_files/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,True,data/puml_images_1568/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.png,False
gpt-5.2,GPT-5.2,0b04c29eb903fbeb733c3ec5c0f834ffb7a1dadf,class,4,compiled_low_structural,True,True,,5,22,6,0.2632,5,5,0,4,24,9,0.1951,composition;dependency,inheritance;aggregation;dependency,56.63,data/puml_files/0b04c29eb903fbeb733c3ec5c0f834ffb7a1dadf.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/0b04c29eb903fbeb733c3ec5c0f834ffb7a1dadf.puml,True,data/puml_images_1568/0b04c29eb903fbeb733c3ec5c0f834ffb7a1dadf.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/0b04c29eb903fbeb733c3ec5c0f834ffb7a1dadf.png,True
gpt-5.2,GPT-5.2,0bffda3c561066aa0dda7f556b2ce91406230f86,class,1,compiled_low_structural,True,True,,0,1,1,0.0000,0,0,0,0,0,0,1.0000,,,54.51,data/puml_files/0bffda3c561066aa0dda7f556b2ce91406230f86.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/0bffda3c561066aa0dda7f556b2ce91406230f86.puml,True,data/puml_images_1568/0bffda3c561066aa0dda7f556b2ce91406230f86.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/0bffda3c561066aa0dda7f556b2ce91406230f86.png,True
gpt-5.2,GPT-5.2,13535b2cbd8a085a55557cd59dee9ac4e2096202_20,sequence,1,compiled_low_structural,True,True,,5,5,0,0.6667,5,0,0,0,9,0,0.0000,,association,27.28,data/puml_files/13535b2cbd8a085a55557cd59dee9ac4e2096202_20.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/13535b2cbd8a085a55557cd59dee9ac4e2096202_20.puml,True,data/puml_images_1568/13535b2cbd8a085a55557cd59dee9ac4e2096202_20.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/13535b2cbd8a085a55557cd59dee9ac4e2096202_20.png,True
gpt-5.2,GPT-5.2,2830a2eabd8ada9ad42a0d10eeeacad0dc53a202,sequence,4,compiled_low_structural,True,True,,0,14,14,0.0000,0,0,0,0,38,40,0.0000,message,message,44.31,data/puml_files/2830a2eabd8ada9ad42a0d10eeeacad0dc53a202.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/2830a2eabd8ada9ad42a0d10eeeacad0dc53a202.puml,True,data/puml_images_1568/2830a2eabd8ada9ad42a0d10eeeacad0dc53a202.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/2830a2eabd8ada9ad42a0d10eeeacad0dc53a202.png,True
gpt-5.2,GPT-5.2,42fc85c2e1d580aedd56311d963ecb8df37a5cb1,class,2,compiled_low_structural,True,True,,2,0,0,1.0000,2,1,1,0,1,0,0.0000,,dependency,87.71,data/puml_files/42fc85c2e1d580aedd56311d963ecb8df37a5cb1.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/42fc85c2e1d580aedd56311d963ecb8df37a5cb1.puml,True,data/puml_images_1568/42fc85c2e1d580aedd56311d963ecb8df37a5cb1.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/42fc85c2e1d580aedd56311d963ecb8df37a5cb1.png,True
gpt-5.2,GPT-5.2,6c7324c7eaeb23cd5644654ea022ca212ecd24ea,sequence,1,compiled_low_structural,True,True,,1,1,1,0.5000,1,1,0,0,4,4,0.0000,message,message,47.69,data/puml_files/6c7324c7eaeb23cd5644654ea022ca212ecd24ea.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/6c7324c7eaeb23cd5644654ea022ca212ecd24ea.puml,True,data/puml_images_1568/6c7324c7eaeb23cd5644654ea022ca212ecd24ea.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/6c7324c7eaeb23cd5644654ea022ca212ecd24ea.png,True
gpt-5.2,GPT-5.2,75d17323e3f57e506be51b5455aa97ae89d8c5cc,sequence,2,compiled_low_structural,True,True,,1,3,3,0.2500,1,1,0,0,6,6,0.0000,message,message,61.07,data/puml_files/75d17323e3f57e506be51b5455aa97ae89d8c5cc.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/75d17323e3f57e506be51b5455aa97ae89d8c5cc.puml,True,data/puml_images_1568/75d17323e3f57e506be51b5455aa97ae89d8c5cc.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/75d17323e3f57e506be51b5455aa97ae89d8c5cc.png,True
gpt-5.2,GPT-5.2,7c320c768ad2b452a09b81e3f91305beec4280f0,sequence,3,compiled_low_structural,True,True,,4,1,1,0.8000,4,4,0,2,8,8,0.2000,message,message,45.36,data/puml_files/7c320c768ad2b452a09b81e3f91305beec4280f0.puml,data/runs/gpt-5.2-2025-12-11_20260613T154248Z/7c320c768ad2b452a09b81e3f91305beec4280f0.puml,True,data/puml_images_1568/7c320c768ad2b452a09b81e3f91305beec4280f0.png,data/csr/gpt-5.2-2025-12-11_20260613T154248Z/png/7c320c768ad2b452a09b81e3f91305beec4280f0.png,True
