model_id,display,key,primary_type,tier,outcome_class,compiled,has_pred,csr_error,el_tp,el_fp,el_fn,el_f1,ta_matched,ta_correct,ta_excluded,rel_tp,rel_fp,rel_fn,rel_f1,relations_missed,relations_extra,chrf,gt_puml,pred_puml,pred_puml_exists,input_image,pred_render,pred_render_exists
claude-sonnet-4-6,Claude Sonnet 4.6,09ba2de07109b08b037d680246f10d2d5832b75f,class,1,compile_fail,False,True,Error line 9 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/09ba2de07109b08b037d680246f10d2d5832b75f.puml,0,0,2,0.0000,0,0,0,0,0,2,0.0000,inheritance;association,,66.69,data/puml_files/09ba2de07109b08b037d680246f10d2d5832b75f.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/09ba2de07109b08b037d680246f10d2d5832b75f.puml,True,data/puml_images_1568/09ba2de07109b08b037d680246f10d2d5832b75f.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/09ba2de07109b08b037d680246f10d2d5832b75f.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,0ea5f288ee82befc3545dcfdd93bd701054ddf27,sequence,2,compile_fail,False,True,Error line 13 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/0ea5f288ee82befc3545dcfdd93bd701054ddf27.puml,0,0,3,0.0000,0,0,0,0,0,8,0.0000,message,,86.16,data/puml_files/0ea5f288ee82befc3545dcfdd93bd701054ddf27.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/0ea5f288ee82befc3545dcfdd93bd701054ddf27.puml,True,data/puml_images_1568/0ea5f288ee82befc3545dcfdd93bd701054ddf27.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/0ea5f288ee82befc3545dcfdd93bd701054ddf27.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,13f02fcb3ac51bd86cbae3cd6980af31cbedc521,sequence,3,compile_fail,False,True,Error line 4 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/13f02fcb3ac51bd86cbae3cd6980af31cbedc521.puml,0,0,5,0.0000,0,0,0,0,0,9,0.0000,message,,24.72,data/puml_files/13f02fcb3ac51bd86cbae3cd6980af31cbedc521.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/13f02fcb3ac51bd86cbae3cd6980af31cbedc521.puml,True,data/puml_images_1568/13f02fcb3ac51bd86cbae3cd6980af31cbedc521.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/13f02fcb3ac51bd86cbae3cd6980af31cbedc521.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02,class,4,compile_fail,False,True,Error line 72 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02.puml,0,0,9,0.0000,0,0,0,0,0,11,0.0000,inheritance;composition;aggregation;association,,74.17,data/puml_files/1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02.puml,True,data/puml_images_1568/1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/1bca4778a2b1752ff82d4954b38bd9f6f92cdcda_02.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,203d4c04005b1eae83942531402f3edcf8c0409e_03,sequence,3,compile_fail,False,True,Error line 31 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/203d4c04005b1eae83942531402f3edcf8c0409e_03.puml,0,0,5,0.0000,0,0,0,0,0,10,0.0000,message,,59.39,data/puml_files/203d4c04005b1eae83942531402f3edcf8c0409e_03.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/203d4c04005b1eae83942531402f3edcf8c0409e_03.puml,True,data/puml_images_1568/203d4c04005b1eae83942531402f3edcf8c0409e_03.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/203d4c04005b1eae83942531402f3edcf8c0409e_03.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,3bded5fefc8b422479111e7bdf517358f0584f46,class,3,compile_fail,False,True,Error line 44 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/3bded5fefc8b422479111e7bdf517358f0584f46.puml,0,0,5,0.0000,0,0,0,0,0,4,0.0000,inheritance;composition;dependency;association,,54.92,data/puml_files/3bded5fefc8b422479111e7bdf517358f0584f46.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/3bded5fefc8b422479111e7bdf517358f0584f46.puml,True,data/puml_images_1568/3bded5fefc8b422479111e7bdf517358f0584f46.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/3bded5fefc8b422479111e7bdf517358f0584f46.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,836fc1be71c455412e94cfec349f181ac525ab0f,class,2,compile_fail,False,True,Error line 26 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/836fc1be71c455412e94cfec349f181ac525ab0f.puml,0,0,8,0.0000,0,0,0,0,0,4,0.0000,dependency;association,,66.37,data/puml_files/836fc1be71c455412e94cfec349f181ac525ab0f.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/836fc1be71c455412e94cfec349f181ac525ab0f.puml,True,data/puml_images_1568/836fc1be71c455412e94cfec349f181ac525ab0f.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/836fc1be71c455412e94cfec349f181ac525ab0f.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d,sequence,4,compile_fail,False,True,Error line 36 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d.puml,0,0,4,0.0000,0,0,0,0,0,16,0.0000,message,,83.07,data/puml_files/a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d.puml,True,data/puml_images_1568/a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/a675645b1b9dbe715ceb1dfdbed3eb8b44734f5d.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,a87c8d584bf40e45101b8425d63c9ac5fb06c7d6,class,3,compile_fail,False,True,Error line 12 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,0,0,3,0.0000,0,0,0,0,0,2,0.0000,inheritance;dependency,,61.19,data/puml_files/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.puml,True,data/puml_images_1568/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/a87c8d584bf40e45101b8425d63c9ac5fb06c7d6.png,False
claude-sonnet-4-6,Claude Sonnet 4.6,b21a6faaf6a180c501e0aba4b0056672ede1ea2d,class,2,compile_fail,False,True,Error line 35 in file: data/csr/claude-sonnet-4-6_20260613T154151Z/extracted/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,0,0,4,0.0000,0,0,0,0,0,4,0.0000,inheritance;aggregation;association,,73.47,data/puml_files/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,data/runs/claude-sonnet-4-6_20260613T154151Z/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.puml,True,data/puml_images_1568/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.png,data/csr/claude-sonnet-4-6_20260613T154151Z/png/b21a6faaf6a180c501e0aba4b0056672ede1ea2d.png,False
