model_id,display,population,relation,precision,recall,f1,support_gt,support_pred,n_diagrams_with_gt,n
gpt-5.2,GPT-5.2,compiled_only,inheritance,0.8612099644128114,0.8297142857142857,0.8451688009313154,875,843,243,935
gpt-5.2,GPT-5.2,compiled_only,composition,0.8,0.5531914893617021,0.6540880503144655,282,195,78,935
gpt-5.2,GPT-5.2,compiled_only,aggregation,0.6650943396226415,0.5899581589958159,0.6252771618625277,239,212,93,935
gpt-5.2,GPT-5.2,compiled_only,dependency,0.4981060606060606,0.7032085561497327,0.5831485587583148,374,528,96,935
gpt-5.2,GPT-5.2,compiled_only,association,0.6648351648351648,0.6962025316455697,0.6801573917931423,869,910,210,935
gpt-5.2,GPT-5.2,compiled_only,message,0.848,0.830947511929107,0.8393871578584953,5868,5750,461,935
gpt-5.2,GPT-5.2,zeros_for_failed,inheritance,0.8612099644128114,0.7723404255319148,0.8143578238923163,940,843,258,1000
gpt-5.2,GPT-5.2,zeros_for_failed,composition,0.8,0.52,0.6303030303030304,300,195,82,1000
gpt-5.2,GPT-5.2,zeros_for_failed,aggregation,0.6650943396226415,0.5778688524590164,0.618421052631579,244,212,97,1000
gpt-5.2,GPT-5.2,zeros_for_failed,dependency,0.4981060606060606,0.6692111959287532,0.5711183496199783,393,528,106,1000
gpt-5.2,GPT-5.2,zeros_for_failed,association,0.6648351648351648,0.596646942800789,0.6288981288981288,1014,910,231,1000
gpt-5.2,GPT-5.2,zeros_for_failed,message,0.848,0.7448823709135349,0.793103448275862,6546,5750,497,1000
claude-opus-4-6,Claude Opus 4.6,compiled_only,inheritance,0.8805309734513275,0.8785871964679912,0.8795580110497239,906,904,250,941
claude-opus-4-6,Claude Opus 4.6,compiled_only,composition,0.6526946107784432,0.39492753623188404,0.4920993227990971,276,167,77,941
claude-opus-4-6,Claude Opus 4.6,compiled_only,aggregation,0.7164179104477612,0.4085106382978723,0.5203252032520325,235,134,95,941
claude-opus-4-6,Claude Opus 4.6,compiled_only,dependency,0.5067264573991032,0.601063829787234,0.5498783454987834,376,446,98,941
claude-opus-4-6,Claude Opus 4.6,compiled_only,association,0.5737410071942446,0.6673640167364017,0.6170212765957447,956,1112,222,941
claude-opus-4-6,Claude Opus 4.6,compiled_only,message,0.7405739072405739,0.7386023294509152,0.739586804398534,6010,5994,451,941
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,inheritance,0.8805309734513275,0.8468085106382979,0.8633405639913232,940,904,258,1000
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,composition,0.6526946107784432,0.36333333333333334,0.4668094218415417,300,167,82,1000
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,aggregation,0.7164179104477612,0.39344262295081966,0.507936507936508,244,134,97,1000
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,dependency,0.5067264573991032,0.5750636132315522,0.5387365911799762,393,446,106,1000
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,association,0.5737410071942446,0.6291913214990138,0.6001881467544684,1014,1112,231,1000
claude-opus-4-6,Claude Opus 4.6,zeros_for_failed,message,0.7405739072405739,0.678124045218454,0.7079744816586921,6546,5994,497,1000
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,inheritance,0.9299568965517241,0.9493949394939494,0.939575394665215,909,928,249,972
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,composition,0.8656716417910447,0.7864406779661017,0.8241563055062167,295,268,80,972
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,aggregation,0.8518518518518519,0.7896995708154506,0.8195991091314031,233,216,96,972
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,dependency,0.7916666666666666,0.7855297157622739,0.788586251621271,387,384,104,972
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,association,0.8304033092037229,0.8086606243705942,0.8193877551020408,993,967,225,972
gemini-3.1-pro,Gemini 3.1 Pro,compiled_only,message,0.9068066157760815,0.9115907274180656,0.909192378218927,6255,6288,481,972
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,inheritance,0.9299568965517241,0.9180851063829787,0.923982869379015,940,928,258,1000
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,composition,0.8656716417910447,0.7733333333333333,0.8169014084507041,300,268,82,1000
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,aggregation,0.8518518518518519,0.7540983606557377,0.7999999999999999,244,216,97,1000
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,dependency,0.7916666666666666,0.7735368956743003,0.7824967824967825,393,384,106,1000
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,association,0.8304033092037229,0.7919132149901381,0.8107016658253408,1014,967,231,1000
gemini-3.1-pro,Gemini 3.1 Pro,zeros_for_failed,message,0.9068066157760815,0.871066300030553,0.8885772167679602,6546,6288,497,1000
qwen3.5-2b,Qwen3.5-2B,compiled_only,inheritance,0.7413793103448276,0.3359375,0.46236559139784944,128,58,45,201
qwen3.5-2b,Qwen3.5-2B,compiled_only,composition,0.0625,0.019230769230769232,0.029411764705882353,52,16,19,201
qwen3.5-2b,Qwen3.5-2B,compiled_only,aggregation,1.0,0.047619047619047616,0.0909090909090909,21,1,13,201
qwen3.5-2b,Qwen3.5-2B,compiled_only,dependency,0.023148148148148147,0.11904761904761904,0.03875968992248062,42,216,16,201
qwen3.5-2b,Qwen3.5-2B,compiled_only,association,0.14334470989761092,0.34146341463414637,0.20192307692307693,123,293,41,201
qwen3.5-2b,Qwen3.5-2B,compiled_only,message,0.6633039092055486,0.6352657004830918,0.64898210980876,828,793,92,201
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,inheritance,0.7413793103448276,0.045744680851063826,0.08617234468937875,940,58,258,1000
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,composition,0.0625,0.0033333333333333335,0.006329113924050634,300,16,82,1000
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,aggregation,1.0,0.004098360655737705,0.00816326530612245,244,1,97,1000
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,dependency,0.022727272727272728,0.01272264631043257,0.016313213703099513,393,220,106,1000
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,association,0.14189189189189189,0.04142011834319527,0.06412213740458016,1014,296,231,1000
qwen3.5-2b,Qwen3.5-2B,zeros_for_failed,message,0.6633039092055486,0.08035441490986862,0.14334377980651317,6546,793,497,1000
qwen3.5-9b,Qwen3.5-9B,compiled_only,inheritance,0.5833333333333334,0.5152603231597845,0.5471877979027646,557,492,176,431
qwen3.5-9b,Qwen3.5-9B,compiled_only,composition,0.42592592592592593,0.16546762589928057,0.2383419689119171,139,54,47,431
qwen3.5-9b,Qwen3.5-9B,compiled_only,aggregation,0.3235294117647059,0.13496932515337423,0.1904761904761905,163,68,66,431
qwen3.5-9b,Qwen3.5-9B,compiled_only,dependency,0.17318435754189945,0.42660550458715596,0.24635761589403976,218,537,64,431
qwen3.5-9b,Qwen3.5-9B,compiled_only,association,0.2397094430992736,0.5881188118811881,0.34059633027522934,505,1239,139,431
qwen3.5-9b,Qwen3.5-9B,compiled_only,message,0.8033282904689864,0.49257884972170685,0.6106958021851638,1078,661,101,431
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,inheritance,0.5833333333333334,0.30531914893617024,0.40083798882681565,940,492,258,1000
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,composition,0.42592592592592593,0.07666666666666666,0.12994350282485875,300,54,82,1000
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,aggregation,0.3235294117647059,0.09016393442622951,0.14102564102564105,244,68,97,1000
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,dependency,0.17318435754189945,0.2366412213740458,0.2,393,537,106,1000
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,association,0.2397094430992736,0.29289940828402367,0.2636484687083888,1014,1239,231,1000
qwen3.5-9b,Qwen3.5-9B,zeros_for_failed,message,0.8033282904689864,0.08111824014665445,0.14735673650617456,6546,661,497,1000
