model_id,display,gt_type,support,correct,accuracy
gpt-5.2,GPT-5.2,(all),4899,4611,0.9412124923453766
gpt-5.2,GPT-5.2,abstract_class,137,116,0.8467153284671532
gpt-5.2,GPT-5.2,actor,259,258,0.9961389961389961
gpt-5.2,GPT-5.2,annotation,1,1,1.0
gpt-5.2,GPT-5.2,boundary,65,44,0.676923076923077
gpt-5.2,GPT-5.2,class,2210,2154,0.9746606334841629
gpt-5.2,GPT-5.2,collections,23,3,0.13043478260869565
gpt-5.2,GPT-5.2,control,77,53,0.6883116883116883
gpt-5.2,GPT-5.2,database,101,99,0.9801980198019802
gpt-5.2,GPT-5.2,entity,82,23,0.2804878048780488
gpt-5.2,GPT-5.2,enum,60,49,0.8166666666666667
gpt-5.2,GPT-5.2,interface,224,216,0.9642857142857143
gpt-5.2,GPT-5.2,object,1,0,0.0
gpt-5.2,GPT-5.2,participant,1655,1595,0.9637462235649547
gpt-5.2,GPT-5.2,queue,4,0,0.0
claude-opus-4-6,Claude Opus 4.6,(all),5000,4748,0.9496
claude-opus-4-6,Claude Opus 4.6,abstract_class,142,139,0.9788732394366197
claude-opus-4-6,Claude Opus 4.6,actor,253,249,0.9841897233201581
claude-opus-4-6,Claude Opus 4.6,annotation,1,1,1.0
claude-opus-4-6,Claude Opus 4.6,boundary,65,39,0.6
claude-opus-4-6,Claude Opus 4.6,class,2293,2267,0.9886611426079372
claude-opus-4-6,Claude Opus 4.6,collections,29,7,0.2413793103448276
claude-opus-4-6,Claude Opus 4.6,control,79,32,0.4050632911392405
claude-opus-4-6,Claude Opus 4.6,database,90,87,0.9666666666666667
claude-opus-4-6,Claude Opus 4.6,entity,93,44,0.4731182795698925
claude-opus-4-6,Claude Opus 4.6,enum,64,63,0.984375
claude-opus-4-6,Claude Opus 4.6,interface,232,208,0.896551724137931
claude-opus-4-6,Claude Opus 4.6,object,7,0,0.0
claude-opus-4-6,Claude Opus 4.6,participant,1645,1612,0.9799392097264438
claude-opus-4-6,Claude Opus 4.6,queue,7,0,0.0
gemini-3.1-pro,Gemini 3.1 Pro,(all),5266,5181,0.9838587162932017
gemini-3.1-pro,Gemini 3.1 Pro,abstract_class,140,136,0.9714285714285714
gemini-3.1-pro,Gemini 3.1 Pro,actor,274,273,0.9963503649635036
gemini-3.1-pro,Gemini 3.1 Pro,annotation,1,1,1.0
gemini-3.1-pro,Gemini 3.1 Pro,boundary,69,69,1.0
gemini-3.1-pro,Gemini 3.1 Pro,class,2358,2325,0.9860050890585241
gemini-3.1-pro,Gemini 3.1 Pro,collections,31,26,0.8387096774193549
gemini-3.1-pro,Gemini 3.1 Pro,control,78,78,1.0
gemini-3.1-pro,Gemini 3.1 Pro,database,111,111,1.0
gemini-3.1-pro,Gemini 3.1 Pro,entity,111,86,0.7747747747747747
gemini-3.1-pro,Gemini 3.1 Pro,enum,60,59,0.9833333333333333
gemini-3.1-pro,Gemini 3.1 Pro,interface,218,214,0.981651376146789
gemini-3.1-pro,Gemini 3.1 Pro,object,9,0,0.0
gemini-3.1-pro,Gemini 3.1 Pro,participant,1798,1797,0.9994438264738599
gemini-3.1-pro,Gemini 3.1 Pro,queue,8,6,0.75
qwen3.5-2b,Qwen3.5-2B,(all),824,625,0.758495145631068
qwen3.5-2b,Qwen3.5-2B,abstract_class,21,0,0.0
qwen3.5-2b,Qwen3.5-2B,actor,48,5,0.10416666666666667
qwen3.5-2b,Qwen3.5-2B,boundary,13,0,0.0
qwen3.5-2b,Qwen3.5-2B,class,372,356,0.956989247311828
qwen3.5-2b,Qwen3.5-2B,collections,4,0,0.0
qwen3.5-2b,Qwen3.5-2B,control,8,0,0.0
qwen3.5-2b,Qwen3.5-2B,database,14,1,0.07142857142857142
qwen3.5-2b,Qwen3.5-2B,entity,9,0,0.0
qwen3.5-2b,Qwen3.5-2B,enum,5,0,0.0
qwen3.5-2b,Qwen3.5-2B,interface,24,2,0.08333333333333333
qwen3.5-2b,Qwen3.5-2B,object,6,0,0.0
qwen3.5-2b,Qwen3.5-2B,participant,297,261,0.8787878787878788
qwen3.5-2b,Qwen3.5-2B,queue,3,0,0.0
qwen3.5-9b,Qwen3.5-9B,(all),2001,1513,0.7561219390304847
qwen3.5-9b,Qwen3.5-9B,abstract_class,86,1,0.011627906976744186
qwen3.5-9b,Qwen3.5-9B,actor,73,34,0.4657534246575342
qwen3.5-9b,Qwen3.5-9B,annotation,1,0,0.0
qwen3.5-9b,Qwen3.5-9B,boundary,14,0,0.0
qwen3.5-9b,Qwen3.5-9B,class,1298,1224,0.9429892141756548
qwen3.5-9b,Qwen3.5-9B,collections,7,0,0.0
qwen3.5-9b,Qwen3.5-9B,control,17,0,0.0
qwen3.5-9b,Qwen3.5-9B,database,18,8,0.4444444444444444
qwen3.5-9b,Qwen3.5-9B,entity,30,1,0.03333333333333333
qwen3.5-9b,Qwen3.5-9B,enum,26,2,0.07692307692307693
qwen3.5-9b,Qwen3.5-9B,interface,155,82,0.5290322580645161
qwen3.5-9b,Qwen3.5-9B,participant,274,161,0.5875912408759124
qwen3.5-9b,Qwen3.5-9B,queue,2,0,0.0
qwen3.5-27b,Qwen3.5-27B,(all),3035,2690,0.886326194398682
qwen3.5-27b,Qwen3.5-27B,abstract_class,109,60,0.5504587155963303
qwen3.5-27b,Qwen3.5-27B,actor,94,81,0.8617021276595744
qwen3.5-27b,Qwen3.5-27B,annotation,1,0,0.0
qwen3.5-27b,Qwen3.5-27B,boundary,35,8,0.22857142857142856
qwen3.5-27b,Qwen3.5-27B,class,1645,1582,0.9617021276595744
qwen3.5-27b,Qwen3.5-27B,collections,8,0,0.0
qwen3.5-27b,Qwen3.5-27B,control,37,5,0.13513513513513514
qwen3.5-27b,Qwen3.5-27B,database,21,16,0.7619047619047619
qwen3.5-27b,Qwen3.5-27B,entity,61,21,0.3442622950819672
qwen3.5-27b,Qwen3.5-27B,enum,39,19,0.48717948717948717
qwen3.5-27b,Qwen3.5-27B,interface,162,140,0.8641975308641975
qwen3.5-27b,Qwen3.5-27B,object,1,0,0.0
qwen3.5-27b,Qwen3.5-27B,participant,821,758,0.9232643118148599
qwen3.5-27b,Qwen3.5-27B,queue,1,0,0.0
